cod_grande_reg,nome_grande_reg,cod_unidade_fed,nome_unidade_fed,cod_municipio,nome_municipio,pib,pib_per_capita,ano,mes,regiao,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,letalidade_violenta,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_rua,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias,fase
3,Sudeste     ,33,Rio de Janeiro     ,3300605,Bom Jesus do Itabapoana                 ,606058.350        ,16883.73          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,23             ,2              ,0              ,6              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,0              ,0              ,0              ,1              ,0              ,20             ,21             ,0              ,0              ,0              ,1              ,9              ,8              ,1              ,0              ,0              ,3              ,2              ,0              ,1              ,27             ,0              ,0              ,0              ,0              ,0              ,115            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3300704,Cabo Frio                               ,17208138.933      ,84153.14          ,2014,01,Interior          ,9              ,0              ,0              ,9              ,0              ,9              ,12             ,119            ,9              ,4              ,81             ,34             ,0              ,1              ,35             ,15             ,1              ,8              ,2              ,0              ,0              ,0              ,0              ,0              ,118            ,103            ,34             ,57             ,6              ,17             ,0              ,194            ,384            ,0              ,0              ,2              ,27             ,51             ,14             ,34             ,5              ,26             ,80             ,28             ,8              ,0              ,121            ,7              ,3              ,0              ,0              ,0              ,1105           ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3300803,Cachoeiras de Macacu                    ,958313.271        ,17122.83          ,2014,01,Interior          ,2              ,0              ,0              ,2              ,0              ,2              ,5              ,31             ,2              ,1              ,22             ,1              ,0              ,0              ,1              ,0              ,1              ,1              ,1              ,0              ,0              ,0              ,0              ,0              ,3              ,7              ,4              ,0              ,1              ,1              ,0              ,21             ,27             ,0              ,1              ,0              ,7              ,5              ,2              ,2              ,1              ,0              ,3              ,1              ,2              ,0              ,20             ,2              ,1              ,0              ,0              ,0              ,175            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3300902,Cambuci                                 ,283110.632        ,19065.97          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,6              ,0              ,0              ,4              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,0              ,1              ,0              ,0              ,1              ,3              ,0              ,0              ,0              ,1              ,2              ,1              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,7              ,0              ,0              ,0              ,0              ,0              ,42             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3300936,Carapebus                               ,911496.461        ,61951.77          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3300951,Comendador Levy Gasparian               ,254202.230        ,30831.08          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301009,Campos dos Goytacazes                   ,58004933.013      ,120680.69         ,2014,01,Interior          ,18             ,0              ,0              ,18             ,0              ,18             ,33             ,193            ,20             ,6              ,78             ,89             ,3              ,6              ,98             ,26             ,3              ,12             ,2              ,1              ,2              ,0              ,2              ,0              ,13             ,160            ,56             ,55             ,19             ,8              ,0              ,165            ,302            ,0              ,0              ,0              ,45             ,95             ,32             ,49             ,22             ,41             ,151            ,52             ,25             ,1              ,200            ,10             ,1              ,0              ,0              ,0              ,1397           ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301108,Cantagalo                               ,855426.983        ,43220.85          ,2014,01,Interior          ,1              ,0              ,0              ,1              ,0              ,1              ,0              ,17             ,2              ,0              ,8              ,0              ,0              ,0              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,2              ,1              ,0              ,0              ,1              ,0              ,11             ,13             ,0              ,0              ,0              ,0              ,1              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,8              ,0              ,0              ,0              ,0              ,0              ,68             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301157,Cardoso Moreira                         ,271856.754        ,21613.67          ,2014,01,Interior          ,1              ,0              ,0              ,1              ,0              ,1              ,0              ,12             ,0              ,0              ,5              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,5              ,6              ,0              ,0              ,0              ,0              ,5              ,5              ,0              ,0              ,0              ,4              ,0              ,0              ,0              ,13             ,0              ,0              ,0              ,0              ,0              ,56             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301207,Carmo                                   ,355383.495        ,19662.69          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,19             ,1              ,0              ,3              ,0              ,0              ,0              ,0              ,1              ,2              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              ,0              ,1              ,0              ,1              ,0              ,9              ,11             ,0              ,0              ,0              ,1              ,1              ,0              ,1              ,0              ,1              ,1              ,0              ,1              ,7              ,17             ,1              ,0              ,0              ,0              ,0              ,101            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301306,Casimiro de Abreu                       ,3598888.933       ,91309.91          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,21             ,0              ,4              ,25             ,2              ,0              ,0              ,2              ,6              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,1              ,10             ,3              ,1              ,1              ,3              ,0              ,23             ,31             ,0              ,0              ,0              ,4              ,1              ,1              ,0              ,0              ,3              ,2              ,2              ,3              ,1              ,31             ,1              ,0              ,0              ,0              ,0              ,129            ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301405,Conceição de Macabu                     ,272137.566        ,12366.52          ,2014,01,Interior          ,1              ,0              ,0              ,1              ,0              ,1              ,0              ,9              ,1              ,0              ,5              ,1              ,0              ,0              ,1              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,2              ,2              ,0              ,0              ,0              ,0              ,1              ,3              ,0              ,0              ,0              ,0              ,2              ,2              ,0              ,0              ,1              ,0              ,0              ,5              ,0              ,13             ,0              ,0              ,0              ,0              ,0              ,54             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301504,Cordeiro                                ,316892.971        ,15115.33          ,2014,01,Interior          ,1              ,0              ,0              ,1              ,0              ,1              ,0              ,13             ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,3              ,0              ,2              ,0              ,2              ,0              ,17             ,21             ,0              ,0              ,0              ,1              ,2              ,0              ,1              ,1              ,0              ,6              ,0              ,2              ,0              ,9              ,1              ,0              ,0              ,0              ,0              ,68             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301603,Duas Barras                             ,197560.831        ,17804.69          ,2014,01,Interior          ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,15             ,1              ,0              ,3              ,1              ,0              ,0              ,1              ,0              ,0              ,1              ,0              ,0              ,0              ,0              ,0              ,0              ,0              ,2              ,0              ,0              ,0              ,1              ,0              ,1              ,2              ,0              ,0              ,0              ,1              ,1              ,1              ,0              ,0              ,0              ,1              ,0              ,0              ,0              ,13             ,0              ,0              ,0              ,0              ,0              ,44             ,3              
3,Sudeste     ,33,Rio de Janeiro     ,3301702,Duque de Caxias                         ,28862818.723      ,32858.33          ,2014,01,Baixada Fluminense,37             ,0              ,0              ,37             ,3              ,40             ,31             ,511            ,25             ,8              ,186            ,683            ,18             ,37             ,738            ,340            ,57             ,49             ,3              ,0              ,0              ,1              ,4              ,0              ,117            ,1309           ,74             ,118            ,43             ,37             ,0              ,370            ,642            ,0              ,10             ,2              ,209            ,65             ,5              ,57             ,3              ,202            ,187            ,88             ,56             ,0              ,447            ,43             ,3              ,0              ,0              ,0              ,4247           ,3              
